plan , science
england , plan
northern , plan
new , plan
england , northern
new , northern
england , new
blow , clean
blow , think
return , think
nye , think
gasket , think
it , think
bad , think
plan , think
destroy , think
bill , think
school , think
blow , people
nye , people
gasket , people
it , people
bad , people
bad , it
blow , it
man , protest
flood , protest
nation , protest
defend , protest
dress , protest
gather , protest
look , protest
change , protest
protest , video
man , video
scientist , video
dress , video
refuse , video
flood , video
leave , video
nation , video
defend , video
dress , man
carrot , dress
protester , steal
protester , thunder
generic , thunder
leftist , thunder
dress , thunder
steal , thunder
man , thunder
carrot , thunder
man , scientist
refuse , scientist
flood , scientist
nation , scientist
defend , scientist
change , defend
climate , defend
flood , understand
flood , refuse
protester , refuse
look , refuse
refuse , they
flood , they
brave , flood
day , flood
flood , protester
place , protester
protester , trump
street , trump
march , street
place , street
event , march
event , science
march , place
globe , place
brave , place
l.a , place
heat , place
day , place
march , wave
tweet , wave
trump , wave
day , wave
l.a , thousand
heat , thousand
heat , l.a
bill , march
bill , science
day , picture
look , picture
earth , picture
mountain , time
flood , leave
gather , leave
nuclear , protest
nuclear , progressive
attract , gather
evidence , gather
day , gather
flood , gather
betsy , gather
devos , gather
earth , gather
great , reactor
gather , reactor
march , reactor
it , reactor
day , reactor
gather , great
day , great
day , it
earth , it
completely , march
drop , march
college , march
hollywood , march
imf , march
form , march
march , scientist
destroy , scientist
pledge , scientist
remember , scientist
gather , scientist
completely , scientist
drop , scientist
resist , scientist
join , scientist
college , destroy
college , completely
wage , week
green , second
poverty , second
energy , second
energy , green
speech , wage
pledge , wage
remember , wage
free , wage
speech , war
day , drop
drop , hollywood
imf , silent
drop , silent
pledge , silent
imf , shamefully
drop , shamefully
drop , imf
form , pledge
day , pledge
gather , pledge
join , pledge
earth , pledge
form , resist
day , resist
earth , resist
remember , resist
protectionism , resist
day , form
earth , form
join , remember
alarmist , remember
double , remember
draw , remember
local , remember
earth , remember
host , remember
gather , remember
environmental , remember
liberalism , remember
rally , remember
america , remember
proulx , remember
day , remember
alarmist , environmental
double , environmental
draw , environmental
science , wrong
double , wrong
draw , wrong
join , wrong
liberalism , wrong
rally , wrong
america , wrong
world , wrong
thousand , wrong
proulx , wrong
draw , science
double , liberalism
lead , liberalism
join , liberalism
day , liberalism
draw , liberalism
fight , liberalism
liberalism , push
double , push
lead , push
join , push
america , double
anti- , double
double , lead
join , lead
entertainer , lead
entertainer , pseudo
child , pseudo
march , pseudo
entertainer , scientist
child , scientist
double , earth
double , rally
join , rally
draw , rally
fight , rally
fight , join
anti- , late
join , late
join , thousand
fight , thousand
science , thousand
fight , march
fight , science
america , fact
fund , group
prison , soros
pleasure , soros
pleasure , prison
pain , prison
pain , pleasure
thousand , world
proulx , world
march , world
annie , world
barkskin , world
orwell , world
brave , huxley
draw , huxley
draw , new
march , new
annie , draw
barkskin , draw
author , draw
march , orwell
rally , science
proulx , thousand
annie , thousand
barkskin , thousand
author , world
annie , author
barkskin , proulx
novel , proulx
her , proulx
late , proulx
day , proulx
barkskin , novel
join , local
host , science
earth , join
host , join
free , join
museum , science
dubuque , science
museum , utah
dubuque , utah
free , host
day , free
program , space
climate , space
gather , protester
late , protester
attract , protester
evidence , protester
live , protester
day , protester
support , worldwide
pruitt , worldwide
turn , worldwide
late , worldwide
attract , worldwide
evidence , worldwide
live , worldwide
day , worldwide
evidence , support
live , support
pruitt , support
late , support
attract , support
day , support
epa , march
pruitt , strike
epa , strike
day , strike
epa , tone
pruitt , tone
epa , political
regulation , sensible
bill , sensible
nye , sensible
bill , regulation
nye , regulation
betsy , pruitt
devos , pruitt
late , pruitt
attract , pruitt
pruitt , scott
betsy , scott
devos , scott
late , scott
attract , scott
attract , betsy
attract , devos
agency , qualify
late , qualify
attract , qualify
march , qualify
late , turn
attract , turn
march , turn
thousand , turn
sarasota , turn
agency , run
march , sarasota
barre , rally
barre , science
barre , wilke
attract , late
april , attract
open , thousand
denver , thousand
denver , downtown
open , wash
exhibit , wash
april , wash
gardens , wash
april , open
gardens , open
april , exhibit
april , gardens
gardens , reiman
day , demand
a.m. , demand
capitol , demand
demand , protester
frelinghuysen , protester
epa , protester
a.m. , protester
epa , frelinghuysen
day , frelinghuysen
epa , support
rally , support
earth , support
recognize , support
day , epa
earth , epa
california , southern
rally , southern
march , nationwide
news , science
brief , news
capitol , demonstrator
day , demonstrator
demonstrator , edt
frelinghuysen , gather
capitol , gather
event , gather
epa , gather
capitol , iowa
event , valley
recognize , valley
earth , valley
day , valley
cedar , science
recognize , science
earth , event
day , event
earth , recognize
day , recognize
rally , recognize
cut , happen
day , happen
march , tri
state , tri
news , tri
march , state
news , state
happen , science
cut , stop
epa , stop
march , stop
historian , stop
cost , counter
alarm , counter
anti , counter
cost , trend
day , trend
happen , trend
stop , trend
hide , trend
cost , science
day , science
cost , hide
day , hide
florio , hide
legislation , tax
florio , tax
gov , tax
florio , gas
florio , legislation
gov , legislation
earth , legislation
earth , florio
florio , gov
earth , gov
cut , republicans
epa , republicans
republicans , thoughtful
stop , thoughtful
cut , thoughtful
cut , epa
epa , trump
cut , trump
alarm , march
anti , march
trend , unprecedented
marcher , unprecedented
alarm , unprecedented
anti , unprecedented
science , unprecedented
alarm , marcher
anti , marcher
alarm , decentralist
anti , decentralist
protest , science
earth , globe
energy , promote
protest , resist
picture , video
big , free
fight , support
nation , state
earth , world
plan , program
promote , push
lead , leave
energy , push
clean , white
new , novel
liberal , progressive
counter , return
draw , run
earth , man
draw , lead
energy , fight
fight , push
