pay , turn
pay , version
pay , raise
pay , tell
pay , reef
pay , welcome
pay , tribute
pay , slam
pay , wisdom
children , choir
children , pay
children , homage
children , prince
children , create
children , site
children , forget
choir , pay
choir , homage
choir , prince
choir , create
choir , site
choir , forget
choir , turn
choir , man
choir , version
choir , onion
choir , it
choir , day
choir , raise
choir , gather
choir , not-disseminate
homage , prince
homage , site
homage , turn
homage , man
homage , version
homage , onion
homage , it
homage , raise
homage , not-disseminate
prince , site
prince , tribute
prince , turn
prince , version
prince , raise
musical , tribute
man , version
man , site
miami , version
create , version
create , site
create , forget
create , local
create , turn
create , onion
create , it
create , day
create , raise
create , gather
create , not-disseminate
create , satire
local , version
local , satire
news , satire
onion , plantain
day , forget
forget , raise
forget , gather
forget , not-disseminate
forget , mother
forget , slam
forget , wisdom
forget , russia
forget , late
forget , thousand
forget , johnson
forget , obama
mother , raise
mother , not-disseminate
russia , syria
late , raise
late , syria
raise , thousand
raise , slam
raise , wisdom
alarm , thousand
alarm , gather
alarm , not-disseminate
alarm , monk
buddhist , monk
gather , slam
gather , not-disseminate
gather , johnson
gather , obama
gather , wisdom
gather , mayor
mayor , slam
mayor , obama
london , mayor
london , slam
johnson , slam
johnson , obama
boris , johnson
boris , slam
boris , obama
slam , temple
arrive , lunch
arrive , temple
arrive , queen
arrive , chinese
arrive , buddhist
hypocrite , time
hypocrite , obama
china , time
china , obama
china , tick
china , debt
bomb , obama
bomb , debt
tick , time
obama , temple
debt , obama
queen , temple
chinese , temple
not-disseminate , wisdom
refugee , start
robot , start
monk , refugee
monk , start
start , wisdom
fly , start
fly , italy
fly , pope
fan , not-disseminate
pay , reject
pay , pipeline
pay , trade
pay , warn
pay , soldier
pay , surprising
pay , vibrant
pay , trump
pay , sign
pay , win
pay , respect
pay , worry
friend , pay
friend , tribute
friend , reject
friend , reef
friend , welcome
friend , pipeline
tribute , welcome
follow , reject
follow , prince
follow , reef
follow , welcome
follow , pipeline
follow , pay
fans , reject
death , fans
death , prince
crowd , reject
crowd , number
crowd , sign
crowd , reef
crowd , drop
crowd , welcome
crowd , cuomo
crowd , pipeline
crowd , pay
crowd , minneapolis
crowd , paris
crowd , large
agreement , number
agreement , large
minneapolis , paris
minneapolis , nightclub
minneapolis , number
minneapolis , sign
nightclub , paris
number , sign
large , number
large , sign
sign , single
cuomo , reject
cuomo , pipeline
cuomo , pay
cuomo , win
cuomo , respect
cuomo , worry
gov , reject
gov , pipeline
gov , pay
reject , win
reject , respect
reject , worry
reject , welcome
reject , stampede
pipeline , win
pipeline , respect
pipeline , worry
constitution , pipeline
constitution , pay
win , worry
huge , win
huge , pay
huge , respect
huge , worry
pay , stampede
pay , resolve
fan , pay
anti , fan
anti , fracking
anti , prince
anti , movement
fracking , prince
fracking , movement
movement , prince
respect , worry
respect , stampede
love , overlook
love , worry
real , reason
latinos , overlook
overlook , worry
national , poetry
crisis , resolve
crisis , stampede
crisis , horse
crisis , negotiation
loom , syrian
loom , resolve
loom , stampede
resolve , stampede
resolve , wild
negotiation , stampede
horse , stampede
obama , wild
obama , stampede
arizona , breakfast
boost , park
boost , mcdonald
boost , paisley
boost , niro
boost , profit
mcdonald , park
mcdonald , paisley
mcdonald , profit
paisley , park
niro , reunite
prince , reunite
memorial , niro
memorial , reunite
foster , reunite
foster , keitel
reunite , taxi
keitel , reunite
coward , warn
coward , soldier
coward , reef
coward , drop
coward , welcome
coward , israeli
coward , turn
coward , surprising
coward , vibrant
coward , discover
coward , trump
coward , obama
coward , graphic
trade , warn
trade , welcome
warn , welcome
content , soldier
soldier , welcome
israeli , soldier
charge , manslaughter
mark , shakespeare
mark , surprising
mark , reef
globe , mark
globe , hamlet
globe , shakespeare
globe , surprising
hamlet , mark
hamlet , shakespeare
hamlet , surprising
shakespeare , surprising
shakespeare , vibrant
surprising , vibrant
surprising , welcome
anniversary , surprising
anniversary , reef
anniversary , vibrant
anniversary , discover
reef , welcome
reef , turn
reef , trump
reef , sunedison
vibrant , welcome
discover , sunedison
discover , drop
discover , welcome
amazon , sunedison
amazon , developer
amazon , solar
amazon , bankruptcy
muddy , sunedison
developer , sunedison
solar , sunedison
plan , unravel
plan , trump
aggressive , plan
aggressive , growth
aggressive , unravel
aggressive , trump
growth , plan
growth , unravel
growth , trump
trump , welcome
drop , welcome
drop , turn
drop , obama
cameron , welcome
welcome , yield
obama , yield
street , water
cold , water
celebrate , yield
celebrate , hsbc
celebrate , obama
draghi , yield
draghi , hamlet
draghi , elsinore
draghi , hsbc
ecb , policy
ecb , hamlet
hamlet , yield
castle , celebrate
castle , yield
castle , hsbc
elsinore , yield
anniversary , hsbc
anniversary , yield
shakespeare , yield
hsbc , yield
investor , obama
investor , revolt
magnifie , turn
magnifie , tell
magnifie , obama
magnifie , royal
magnifie , pay
influence , turn
influence , tell
influence , obama
influence , royal
influence , pay
british , influence
british , turn
british , tell
tell , young
tell , year
away , tell
away , obama
away , change
away , royal
away , greet
away , pay
obama , tell
obama , royal
obama , young
obama , respect
obama , plaza
greet , obama
greet , pay
greet , resident
greet , respect
greet , plaza
greet , minnesota
obama , resident
minnesota , resident
london , minnesota
london , resident
pay , plaza
respect , tribute
night , plaza
start , visit
daimler , start
daimler , pummel
daimler , pay
daimler , visit
daimler , inspire
emission , testing
emission , probe
captain , cast
america , cast
pummel , schille
pummel , victim
pay , start
pay , pummel
pay , visit
pay , probe
pay , refugee
pay , share
director , pay
director , tribute
director , start
director , pummel
director , visit
director , inspire
tribute , visit
prince , russian
prince , visit
prince , refugee
ballerina , visit
ballerina , refugee
ballerina , camp
ballerina , cast
ballerina , start
ballerina , captain
ballerina , pummel
ballerina , inspire
russian , visit
refugee , visit
camp , visit
camp , cast
camp , captain
camp , pummel
camp , inspire
inspire , share
inspire , pummel
inspire , new
inspire , tech
inspire , probe
inspire , offend
new , share
new , tech
curt , schille
curt , hunt
nasdaq , schille
hunt , offend
hunt , obama
death , victim
death , remarkable
death , loss
death , torch
prince , victim
remarkable , victim
remarkable , syrian
loss , victim
loss , syrian
bomb , victim
bomb , carry
syrian , victim
carry , torch
carry , olympic
carry , justice
carry , scandal
olympic , torch
april , justice
april , scandal
justice , scandal
letter , mourn
celebrity , mourn
music , superstar
music , plunge
music , obama
obama , plunge
debate , mourn
debate , future
